Age,AreaTotal,AreaBsmt,AssessedValueTotal,ConstructionTypeNumber,StyleNumber,TaxAmount,MeanEnergy
1923,1097,861,36100,3,5,3275.72,799.7262455
1931,1733,507,86800,3,3,7331.8,857.6348909
1974,1200,1200,70690,2,2,6414.42,750.7260455
1959,1016,594,61840,3,4,3717.84,398.5449
1958,1155,576,68800,2,4,3848.34,512.8173636
1957,2092,672,82900,2,3,6299.38,867.7429636
2004,2827,1509,116470,3,3,10221.9,822.6351455
1965,1250,600,65090,3,4,5005.02,416.0954909
1954,1036,1036,60750,1,2,2989.68,318.2719455
1965,1216,612,69950,3,4,5454.72,197.3718545
1999,1644,743,75090,3,7,6053.2,1281.813991
1952,1272,759,60690,1,1,5507.02,441.6354455
1952,1057,351,59130,3,4,4821.02,528.7258636
1958,1026,576,57410,3,4,4664.96,574.29936
1959,1026,576,60620,3,4,4956.22,645.19895
1964,1200,1200,73780,2,2,6150.36,582.0987
1959,1026,576,55360,3,4,5023.38,820.89822
1971,1789,245,74020,3,2,6293.96,382.48796
1955,2556,764,110810,3,3,9510.46,773.51409
1950,1808,1412,75550,2,1,5857.28,650.28727
1964,1901,641,102260,1,4,7032.78,737.45485
1960,1389,1360,73300,1,2,4480.84,572.14007
1977,1720,1536,46810,2,2,2604.18,805.12804
1923,1606,408,69950,2,2,2604.94,174.1099667
1961,1062,576,56210,3,4,4556.06,489.1102556
1955,1163,1163,58000,3,2,4718.48,628.6200556
1966,960,880,64790,3,6,5439.9,313.2275556
1954,1015,1015,63120,3,2,4729.38,335.4438222
1949,2173,1521,95800,1,1,8148.46,1035.939933
1925,911,911,78650,3,5,5598.64,753.2210667
1947,2032,532,118530,1,2,8671.9,820.0405667
1952,2302,1144,158650,3,3,11763.68,972.9991667
1959,1272,1272,75980,2,4,4326.38,492.1502
1927,2520,1680,97410,2,1,8294.56,498.9897889
1955,962,962,58170,3,2,4733.92,889.5547778
