Temp.Box.F,Temp.Amb.F,Input.1,Input.2,Input.3,Input.4,Input.5,Input.6,Input.7,Input.8,Input.9,Input.10,Input.11,Input.12,Input.13,Input.14,Input.15,Input.16,Input.17,Input.18,Input.19,Input.20,Input.21,Input.22,Input.23,Input.24,Input.25,Input.26,Input.27,Input.28,Input.29,Input.30,Input.31,Input.32,Input.33,Input.34,Input.35,Input.36,Input.37,Input.38,Input.39,Input.40,Input.41,Input.42,Input.43,Input.44,Input.45,Input.46,Input.47,Input.48,Input.49,Input.50,Input.51,Input.52,Input.53,Input.54,Input.55,Input.56,Input.57,Input.58,Overall.Watts,Compressor.Port.Temp,Worn.Scroll.Condition,Good.Condition,HVE.Fail
77,77,0,50.28,77.4,85.9,753.46,0,280.26,287.66,168.03,126.98,147.52,147.55,126.74,276.49,1.81,1.5,7.73,8.84,35.03,54.97,38.37,168.02,100.15,168.03,89.93,76.86,90.44,89.23,118.59,90.08,98.15,81.67,97.25,97.13,92.4,98.07,45952.86,40829.24,54.55,76.99,168.93,103.97,64.97,50.32,77.18,89.29,90.27,77,0.5,3608.41,34,476.5,50.01,1068.81,0,0,4004.23,13663.01,4489.36,182.09,0,1,0
77,77,0,21.94,76.26,86.09,323.36,0,262.42,268.2,153.76,170.98,183.59,183.53,170.73,260.38,5.1,5.39,-0.47,2.26,11.52,43.74,21.72,NA,103.47,153.76,87.72,76.96,87.46,84.96,122.13,94.55,103.39,80.09,99.76,99.68,95.06,100.22,19157.84,17215.02,43.83,76.58,155.9,104.02,51.89,20.51,77.18,84.31,88.15,76.98,0.33,1967.16,8.44,181.58,3.6,90.85,44,204.6,4788.42,16338.78,2517.85,188.95,0,1,0
77,77,0,5.22,74.26,77.6,49.12,0,247.85,248.04,180.51,176.46,181.31,181.48,176.21,249.6,0.46,1.32,0.56,7.02,7.35,77.57,56.7,165.7,98.29,180.51,77.6,76.92,78.29,83,155.13,92.86,108.4,84.25,94.08,94.68,132.25,92.38,2333.1,2697.85,77.52,77.34,200.72,101.13,99.6,3.88,77.18,77.66,77.87,77,0.2,904.81,21.47,347,2.11,60.26,45.54,215.84,0,0,1256.6,376.44,0,1,0
57,100,43,77.94,76.53,66.77,960.6,0,375.33,381.66,187.08,100.21,126.44,127.4,99.86,368.55,1.34,0.78,10.14,11.79,29.69,66.04,34.5,183.95,120.84,187.08,70.68,57.71,71.34,69.69,119.97,106.51,115.34,96.23,117.06,116.83,74.26,117.71,45615.09,42015.62,65.81,95.02,185.13,125.17,59.96,79.67,57.02,69.51,70.59,57.02,0.7,5809.39,42283.56,592.72,50.03,1106.18,0,0,11650.45,39752.98,7607,199.57,0,1,0
57,100,43,49.42,76.51,63.87,694.7,0,332.95,340.23,169.09,118.25,138.11,138.63,118.03,329.15,1.15,0.75,0.95,3.09,16.03,59.89,24.1,168.28,120.42,169.09,66.29,57.59,67.32,65.9,119.37,108.37,114.99,100.29,117.02,117.27,73.83,117.39,30985.87,29792.19,59.64,97.31,168.29,118.46,49.83,50.4,57.02,65.34,66.17,57.02,0.5,3786.96,50.01,597.45,50.01,1113.43,0,0,4004.23,13663.01,4489.36,183.17,0,1,0
57,100,43,20.5,76.8,62.91,265.97,0,301.53,305.06,166.65,127.79,138.06,138.2,127.8,301.62,3.02,2.77,0.27,2.97,7.6,68.62,31.55,166.44,113.42,166.65,63.51,57.57,63.81,62.33,128.03,106.27,112.96,101.11,111.14,111.45,86.28,110.76,11506.63,12166.22,68.64,95.46,166.46,113.45,53.01,21.46,57.02,60.77,63.29,57.01,0.3,1815.33,19,308.56,6.95,162.07,40.69,200.12,2314.92,7898.82,2550.67,203.7,0,1,0
57,100,43,7.81,75.01,58.55,65.39,0,278.49,279.32,186.42,130.34,135.55,135.73,130.24,280.25,0.55,1.52,0.87,7.62,9.26,92.08,60.64,174.15,106.73,186.42,58.25,57.54,59.39,65.24,150.37,104.37,115.72,102.07,104.98,105.85,116.56,100.48,2468.12,3277.08,91.89,91.22,194.19,108.82,85.37,7.28,57.02,57.9,57.81,57,0.2,954.69,1.89,89.07,3.36,93.99,44.16,217.06,0,0,1407.53,324.84,0,1,0
57,100,43,100,76.58,72.35,1083.84,230.04,334.4,344.96,184.39,84.01,143.49,329.67,83.52,324.83,2.48,0.64,12.59,41.95,46.77,18.71,48.8,180.99,109.23,184.39,78.9,57.38,79.02,76.76,80.76,64.28,80.76,105.24,105.47,77.54,78.45,77.58,72203.03,65062.47,18.69,75.92,182.36,114.12,68.23,100,57.02,76.68,79.07,57.19,0.87,7488.52,50.01,603.06,50.01,1096.71,0,0,19639.5,67012.75,9299.96,195.34,0,1,0
57,77,20,79.28,75.98,68.31,908.04,0,291.07,297.58,169.34,92.62,116.51,117.11,92.29,285.44,1.5,0.79,18.56,18.88,35.93,58.38,38.71,167.33,92.38,169.34,72.86,57.41,73.18,71.38,107.34,84.7,90.27,78.88,90.11,90.08,73.95,90.59,54161.94,49699.74,58.46,75.84,168.3,103.66,64.63,80.25,57.02,71.41,72.95,57.02,0.68,4936.05,50.03,610.15,50.03,1104.78,0,0,14270.09,48691.58,6727.94,182.25,0,1,0
57,77,20,48.92,77.31,65.23,695.67,0,276.5,284.51,153.96,118.4,136.56,136.57,118.13,272.92,1.2,0.82,2.97,5.68,17.36,48.92,22.88,154.36,104.17,153.96,68.02,57.62,68.96,67.11,107.65,90.26,97.92,81.1,99.55,99.61,72.52,100.39,37215.43,35438.61,49.12,76.6,153.89,103.91,49.98,49.77,57.02,66.46,67.95,57.02,0.49,3407.9,29.04,424.12,50.01,1107.58,0,0,4004.23,13663.01,4489.36,167.35,0,1,0
