"Area.Floor","Basement.Area","Attic.Area","Window.Area","Wall.Area","Attic.Rvalue","Windows.Rvalue","Walls.Rvalue","Furnace.eff","AC.SEER","Water.Heater.eff","Refrig.Energy.Year","Refrig.EF","Refrig.Size","Lights.Num.Fluor","Water.Heater.On.Summer","AC.On.Summer","Furnace.Pilot.On.Summer","Refrig.On.Summer","Duct.Open.Area.Basement.in2","Attic.Penetration.in2","Occupancy.Number","Electric.Baseline.Intensity.kW.sf","ElectricTotal.Intensity.kW.sf","Gas.Baseline.kBTU.sf","Gas.Heating.kBTU.sf","Gas.Total.Intensity.kBTU.sf","Heating.Degree.Hours","Cooling.Degree.Hours"
1288,756,812,184,1706,13,2,5,0.95,14,0.65,461,16,16.5,28,1,1,0,1,0,0,5,5,5,22,47.70435919,71,170011,2560
1848,792,957,192,1788,22,2,5,0.95,13,0.62,407,22,20.5,22,1,1,0,1,0,0,5,3,3,2,61.08443949,63,231434,14058
1464,612,816,160,1370,15,2,5,0.78,13,0.55,407,22,20.5,22,1,1,1,1,0,0,5,5,10,28,109.0544946,136,238400,7343
1632,948,1028,127,2243,15,2,5,0.95,13,0.81,407,22,20.5,18,1,1,0,1,0,128,5,4,4,6,108.4332906,117,187495,2243
1704,948,1140,220,2150,15,2,5,0.9,0,0.59,461,16,16.5,16,1,0,1,1,0,0,6,6,6,0,134.7285354,135,234841,4303
1008,720,950,169,791,13,1,4,0.95,13,0.59,407,22,20.5,18,1,0,0,1,27,0,4,5,5,11,125.273163,139,172434,14158
850,708,688,99,845,6,2,4,0.8,10,0.56,600,12,16.5,12,0,0,0,0,0,0,3,9,21,55,74.14162958,131,181192,14058
950,828,918,142,962,18,1,4,0.8,10,0.56,600,12,16.5,12,0,0,0,0,0,0,4,6,12,87,50.16385004,136,57388,6315
1334,852,894,109,1027,18,2,5,0.8,11.3,0.56,407,22,20.5,16,1,0,0,1,27,0,6,6,6,37,85.74626134,123,105815,15941
1147,684,684,148,1562,20,2,4,0.78,0,0.7,479,19,20.5,16,1,0,0,1,0,0,4,5,9,122,85.1270977,206,63347,35644
1213,684,822,107,1603,6,2,4,0.9,16,0.56,600,12,16.5,12,1,0,0,0,27,0,5,7,7,35,84.65875238,120,99730,135301
1212,672,618,131,1549,18,2,5,0.92,0,0.57,479,17,18.2,16,0,0,0,1,0,144,4,4,4,33,84.98547472,119,113641,3538
1490,804,826,157,1853,15,2,5,0.95,13,0.55,461,16,16.5,14,1,1,0,1,0,81,5,5,5,36,55.37918997,90,65214,14058
1088,600,544,121,1379,15,2,5,0.95,13,0.81,407,22,20.5,14,0,0,0,0,27,0,4,6,6,10,79.98750217,92,133637,21181
944,696,632,148,1592,15,2,4,0.95,0,0.59,479,17,18.2,12,1,0,0,1,0,0,5,8,8,46,105.387645,152,116288,135307
1500,888,830,220,2000,22,2,5,0.8,16,0.63,461,16,16.5,28,1,1,0,1,0,144,6,8,8,57,80.3140543,136,62516,135307
1500,888,830,220,2000,22,2,5,0.8,16,0.63,461,16,16.5,28,1,1,0,1,0,144,6,10,18,0,0,0,145077,24993
1500,888,830,220,2000,22,2,5,0.8,16,0.63,461,16,16.5,28,1,1,0,1,0,144,6,7,9,0,0,0,145077,24993
1432,792,872,170,1810,13,2,4,0.78,0,0.59,461,16,16.5,24,1,0,0,1,0,0,5,5,7,18,173.5461418,190,243796,6847
1200,720,688,147,1653,15,2,5,0.95,13,0.59,407,22,20.5,14,1,1,0,1,27,0,5,6,6,35,68.67001169,104,115272,1620
1100,780,560,92,1858,15,2,4,0.8,0,0.59,600,12,16.5,16,1,0,0,1,27,0,5,7,7,48,130.4687633,180,120572,5673
1000,708,756,121,1649,13,2,4,0.95,10,0.59,479,17,18.2,14,1,1,0,1,27,0,4,6,6,81,115.1168781,198,97514,26809
1512,864,792,122,2038,15,2,4,0.95,0,0.59,407,22,20.5,16,1,0,0,1,0,576,4,1,1,26,66.53337562,93,109793,135307
1200,720,600,134,1666,22,2,4,0.95,13,0.81,407,22,20.5,12,1,0,0,1,0,288,4,5,14,3,129.233084,131,237132,6934
1224,684,690,120,1590,15,2,4,0.78,0,0.59,407,22,20.5,20,1,0,0,1,0,0,6,6,6,37,118.7558234,156,110641,1712
1300,636,700,139,1451,15,2,4,0.8,11.3,0.59,407,22,20.5,18,0,1,0,0,71.5,0,4,5,5,37,91.73713109,130,113605,14058
952,648,560,94,1526,10,2,4,0.78,0,0.59,479,17,18.2,14,1,0,1,1,0,0,3,7,11,121,90.86816773,210,64847,1209
1200,684,600,87,1623,10,2,4,0.95,16,0.59,407,22,20.5,14,1,0,0,1,0,72,4,6,6,41,79.20151468,121,106736,5081
924,684,588,90,1620,6,2,4,0.95,16,0.59,587,20,18.5,16,1,0,0,1,27,0,4,8,8,27,129.1027385,159,181192,2392
1144,648,572,170,1450,22,2,4,0.8,11.3,0.59,407,22,20.5,18,1,1,0,1,27,0,4,6,6,41,93.04498656,134,118980,478
