YRMODAMI,Wind.Dir,Wind.Speed.m.per.s,Visibility,Temp.Outside.F,Temp.Dewpoint.F
2013092908,180,7,10,62,55
2013092909,180,7,10,62,55
2013092909,180,6,10,61,56
2013092910,180,7,9.1,61,56
2013092911,180,8,7,61,57
2013092912,180,8,6.9,61,57
2013092912,180,8,9.1,64,58
2013092913,190,9,10,65,57
2013092914,220,10,10,66,57
2013092915,220,10,10,66,57
2013092915,200,10,10,66,58
2013092916,230,9,9.1,66,58
2013092917,200,9,9.1,64,60
2013092918,200,9,8.8,64,60
2013092918,200,8,8,64,61
2013092919,220,11,7,64,61
2013092920,200,9,7,63,61
2013092921,200,9,6.9,63,61
2013092921,210,10,8,63,61
2013092922,210,9,6,63,60
2013092923,200,8,8,63,60
2013093000,200,8,7.5,63,60
2013093000,210,8,8,63,60
2013093001,200,8,7,63,60
2013093002,190,8,4,62,60
2013093003,190,8,3.8,62,60
2013093003,190,7,5,62,60
2013093004,200,7,1.8,62,60
2013093004,NA,NA,NA,NA,NA
2013093005,210,7,4,62,60
2013093006,210,7,3.8,62,60
2013093006,200,6,3,62,60
2013093007,210,7,3,62,60
2013093008,190,6,3,62,60
2013093009,190,6,3,62,60
2013093009,230,6,2.5,62,60
2013093010,220,6,0.8,61,61
2013093011,230,7,0.5,61,60
2013093012,230,7,0.5,61,60
2013093012,190,6,0.5,62,61
2013093013,210,8,0.5,62,61
2013093014,220,7,1,63,61
2013093015,220,7,1,63,61
2013093015,220,9,1.5,64,62
2013093016,220,9,5,65,62
2013093017,210,9,7,65,61
2013093018,210,9,6.9,65,61
2013093018,190,7,9.1,68,63
2013093018,190,9,9.1,69,63
2013093019,190,9,10,68,61
2013093019,200,8,10,68,61
2013093020,210,9,10,69,61
2013093021,210,9,10,69,61
2013093021,210,7,10,69,62
2013093022,210,6,10,68,61
2013093023,190,5,10,67,61
2013100100,190,5,10,67,61
2013100100,160,6,9.1,65,61
2013100101,150,3,9.1,66,61
2013100102,NA,0,7,64,61
2013100103,NA,0,6.9,64,61
2013100103,NA,0,6,63,60
2013100104,190,5,6,64,61
2013100104,NA,NA,NA,NA,NA
2013100105,190,5,5,63,61
2013100106,190,5,5,63,61
2013100106,200,6,4,63,60
2013100107,210,3,3,59,59
2013100108,190,5,2.5,61,60
2013100109,190,5,2.5,61,60
2013100109,180,5,3,61,60
2013100110,190,6,2.5,61,59
2013100111,200,7,0.3,60,60
2013100112,200,7,0.2,60,60
2013100112,210,7,0.1,61,61
2013100113,200,6,0.8,63,62
2013100114,230,7,6,67,63
2013100115,230,7,5.6,67,63
2013100115,240,10,10,71,63
2013100116,220,11,10,72,62
2013100117,190,10,10,74,60
2013100118,190,10,10,74,60
2013100118,220,10,10,76,61
2013100119,240,10,10,76,61
2013100120,230,13,10,77,61
2013100121,230,13,10,77,61
2013100121,230,8,10,76,59
2013100122,220,8,10,73,60
2013100123,200,6,10,70,60
2013100200,200,6,10,70,60
2013100200,200,6,10,69,60
2013100201,210,7,10,67,61
2013100202,220,6,10,65,61
2013100203,220,6,10,65,61
2013100203,210,6,9.1,65,61
2013100204,210,7,9.1,65,61
2013100204,NA,NA,NA,NA,NA
2013100205,220,7,8,64,60
2013100206,220,7,7.5,64,60
2013100206,210,6,8,64,60
2013100207,210,7,7,63,60
2013100208,220,5,6,63,61
2013100209,220,5,5.6,63,61
2013100209,220,6,7,64,61
2013100210,220,6,5,62,60
2013100211,220,9,4,63,61
2013100212,220,9,3.8,63,61
2013100212,260,7,2,65,63
2013100213,270,5,0.5,67,65
2013100214,300,5,3,69,66
2013100215,300,5,3,69,66
2013100215,NA,0,4,71,67
2013100216,NA,0,6,73,66
2013100216,990,3,6,74,67
2013100217,990,5,8,77,66
2013100218,NA,5,7.5,77,66
2013100218,150,7,8,77,66
2013100219,160,8,8,80,67
2013100220,180,7,8,79,67
2013100221,180,7,7.5,79,67
2013100221,200,7,7,78,66
2013100222,220,7,6,75,66
2013100223,210,5,7,73,66
2013100300,210,5,6.9,73,66
2013100300,220,5,7,70,65
2013100301,NA,0,6,70,65
2013100302,250,3,6,69,65
2013100303,250,3,5.6,69,65
2013100303,NA,0,5,68,65
2013100304,NA,0,5,66,64
2013100304,NA,NA,NA,NA,NA
2013100305,190,5,5,68,66
2013100306,190,5,5,68,66
2013100306,180,5,4,67,66
2013100307,200,6,3,68,66
2013100308,200,5,3,68,66
2013100309,200,5,3,68,66
2013100309,200,5,3,69,67
2013100310,210,7,0.5,68,67
2013100311,240,8,1.5,68,66
2013100311,230,8,1.5,68,67
2013100312,230,8,1.5,68,67
2013100312,220,8,2.5,68,67
2013100313,200,6,5,68,66
2013100314,160,6,7,70,66
2013100314,160,6,7,70,67
2013100315,160,6,6.9,70,67
2013100315,200,6,10,72,68
2013100316,210,8,4,71,68
2013100317,180,9,4,70,68
2013100318,180,9,3.8,70,68
2013100318,170,11,10,69,66
2013100319,200,6,6,72,67
2013100320,180,7,10,73,68
2013100321,180,7,10,73,68
2013100321,180,10,10,75,67
2013100322,190,8,10,73,67
2013100323,160,6,10,71,67
2013100400,160,6,10,71,67
2013100400,170,7,10,71,67
2013100401,190,10,10,72,67
2013100402,190,11,10,70,67
