House.No,House.Address,Area.Floor.sf,E.Ele.kWh.1,E.Ele.kWh.2,E.Ele.kWh.3,E.Ele.kWh.4,E.Ele.kWh.5,E.Ele.kWh.6,E.Ele.kWh.7,E.Ele.kWh.8,E.Ele.kWh.9,E.Ele.kWh.10,E.Ele.kWh.11,E.Ele.kWh.12,E.Ele.kWh.13,E.Ele.kWh.14,E.Ele.kWh.15,E.Ele.kWh.16,E.Ele.kWh.17,E.Ele.kWh.18,E.Ele.kWh.19,E.Ele.kWh.20,E.Ele.kWh.21,E.Ele.kWh.22,E.Ele.kWh.23,E.Gas.Mcf.1,E.Gas.Mcf.2,E.Gas.Mcf.3,E.Gas.Mcf.4,E.Gas.Mcf.5,E.Gas.Mcf.6,E.Gas.Mcf.7,E.Gas.Mcf.8,E.Gas.Mcf.9,E.Gas.Mcf.10,E.Gas.Mcf.11,E.Gas.Mcf.12,E.Gas.Mcf.13,E.Gas.Mcf.14,E.Gas.Mcf.15,E.Gas.Mcf.16,E.Gas.Mcf.17,E.Gas.Mcf.18,E.Gas.Mcf.19,E.Gas.Mcf.20,E.Gas.Mcf.21,E.Gas.Mcf.22,E.Gas.Mcf.23
60,"417  Lowes St,   ",1460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,15.1,9.6,7.8,3.6,0,0.1,0.2,1.1,1.4,2.9,5.9,8,9.7,6.9,4.1,1.3,0,0.2,0.2
61,"410  Lowes St,",1440,1149,1019,931,359,664,574,665,604,419,882,269,1143,638,559,579,416,688,625,431,537,592,290,774,NA,NA,NA,14.9,22.1,13.8,9.2,2.6,0.1,0.1,0,0.9,2.3,6.7,11,12.8,15.8,12.4,6.1,2.3,0,0,0.1
62,"418  Lowes St,",1228,941,580,313,270,630,741,637,402,489,392,371,1104,562,1060,650,574,1101,1464,1873,709,986,957,878,NA,NA,NA,9.3,12.3,9.8,6.4,3.4,2.8,0,1.3,2.9,5.7,3.9,8.1,20.6,25.1,20.1,10,3.8,0,0,0.3
63,"412  Lowes St,",1120,920,1154,1157,1050,1625,1289,1176,646,125,124,143,677,627,660,719,606,870,800,623,408,131,71,190,NA,NA,NA,31,49.2,30.7,19.9,5.5,0.6,0.4,0.5,2.1,6,14.8,22.6,30.6,30.9,23.1,16.2,7.4,2.8,1.2,1.3
64,"423  Lowes St,",2119,1019,942,1350,1212,1752,1285,850,667,197,233,189,1093,878,1230,1816,1330,2081,1646,983,611,114,121,159,NA,NA,NA,28.8,45.3,27,15.3,7.3,0.6,0.3,0.2,2.4,6.5,14.8,23.1,24.1,28.1,23.7,14.3,6.5,0.6,0.3,0.3
65,"431  Lowes St,",952,387,374,370,339,539,413,394,225,175,223,398,923,533,476,524,399,528,500,375,389,120,369,430,NA,NA,NA,20.5,37.7,22.4,15,4.1,0.9,0.6,0.8,1.7,3.8,9.9,17.2,21.4,25,20.8,9.6,4,0.7,0.8,0.7
66,"433 Lowes St,",952,769,1091,1250,760,1833,1266,966,611,326,801,367,1513,1233,1043,1122,844,1294,1086,836,531,480,445,330,NA,NA,NA,19.3,27.7,17.3,9.4,2.5,1.4,0.6,0.6,7.3,8.6,8.2,14,13.9,22.8,17,7.9,1.4,0.4,0.5,0.5
67,"434 Lowes St,",1483,985,605,602,557,788,658,539,801,113,665,712,1466,833,850,824,512,739,655,651,723,614,589,916,NA,NA,NA,27.2,37.2,22.3,13.3,4.4,0.7,0.6,0.7,2.4,5.5,13.3,23.7,29.9,31.3,25.4,10.1,3.9,0.6,0.7,0.7
68,"438  Lowes St,",1320,530,437,450,502,698,620,589,337,111,704,1098,1286,703,455,593,480,554,544,459,591,683,370,942,NA,NA,NA,22.7,32.7,20.1,12.1,3.5,0.3,0.3,0.7,1.7,3.6,8.7,15.8,18.9,21.1,18.1,8.1,3.1,0.3,0.4,0.6
69,"440  Lowes St, ",1440,927,562,527,537,1108,743,757,385,167,558,454,919,601,579,555,403,638,562,550,410,205,273,312,NA,NA,NA,20.7,24,14,8.9,1.4,0.3,0.5,0.3,1.7,4.2,8.8,15.3,17.5,21.5,17.4,9.4,4.9,0.8,0.3,0.4
